"Client:","Division:","Program:","Opportunity Type:","Funnel Stage:","Practice Group:","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec",
"Sea Star Line","Sea Star Line","Customer Acquisition and Demand Creation","Technekes Only","Scoped","AG",,,,,,,,,,,,
"SipcamAdvab","SipcamAdvan","Incremental Dollars","Technekes Only","Opportunity","AG",,,,,,,,,,,,
"SipcamAdvan","SipcamAdvan","Contans Grower Mailing","Technekes Only","Closed","AG",4166.66,4166.66,4166.66,4166.66,4166.67,4166.67,4166.67,4166.67,4166.67,4166.67,4166.67,4166.67
"SipcamAdvan","SipcamAdvan","Retailer Rewards","Partnered","Closed","AG",2083.33,2083.33,2083.33,2083.33,2083.33,2083.33,2083.33,2083.33,2083.34,2083.34,2083.34,2083.34
"SipcamAdvan","SipcamAdvan","Retailer Outreach","Technekes Only","Closed","AG",4166.66,4166.66,4166.66,4166.66,4166.67,4166.67,4166.67,4166.67,4166.67,4166.67,4166.67,4166.67
"SipcamAdvan","SipcamAdvan","Account Services","Technekes Only","Closed","AG",2083.33,2083.33,2083.33,2083.33,2083.33,2083.33,2083.33,2083.33,2083.34,2083.34,2083.34,2083.34
"Southern States ","Southern States","Defector Study & Win Back Program","Technekes Only","SOW","AG",,,,,,,,,,,,
"Syngenta Crop Protection","Syngenta Crop Protection","Demand Creation ","Technekes Only","Conversation","AG",,,,,,,,,,,,
"Syngenta Seedcare","Syngenta Seedcare","Satisfaction Survey/NPS","Technekes Only","Closed","AG",58256,140931,,,,,,,,,,
"Syngenta Seedcare","Syngenta Seedcare","Boots on the Ground II","Technekes Only","Opportunity","AG",,,,,,,,,,,,
"Syngenta Seeds","Syngenta Seeds","Acquisition and Retention Program","Technekes Only","Scoped","AG",,,,,,,,,,,,
"Syngenta Seedcare","Syngenta Seedcare","Boots on the Ground: 2011","Technekes Only","Opportunity","AG",,,,,,,,,,,,
"United Suppliers","United Suppliers","DK / Monsanto Seed Support","Technekes Only","Scoped","AG",,,,,,,,,,,,
"Valent","Valent","Data Integration and RFP","Technekes Only","No Longer An Opportunity","AG",,,,,,,,,,,,
"Virbac Animal Health","Virbac Animal Health","Animal Health","Technekes Only","Key Target","AG",,,,,,,,,,,,
"Wells Fargo","Agribusiness Division ","Prospecting Demand Creation Program ","Cross Practice Groups","Opportunity","AG",,,,,,,,,,,,
"BAC","CDG","Emerging Migration","Technekes Only","Closed","FS",45000,,,,,,,,,,,
"BAC","Leasing","Pilot","Technekes Only","Closed","FS",50000,,32000,,,,,,,,,
"BAC","CDG","Outreach ['10 PreBill]","Technekes Only","Closed","FS",150000,,,,,,,,,,,
"BB&T ","Equipment Finance","Leads Mgmt - Pilot","Technekes Only","Lost","FS",,30000,30000,30000,,,,,,,,
"BB&T ","Business Bank  ","Leads Mgmt - Pilot","Technekes Only","SOW","FS",,,,,,25000,25000,50000,,,,
"BB&T ","Business Bank  ","Leads Mgmt - Roll","Technekes Only","Opportunity","FS",,,,,,,,,75000,75000,50000,
"BAC","CDG","Outreach","Technekes Only","Closed","FS",,103000,26622,125000,125000,130000,130000,130000,130000,130000,180000,180000
"BB&T ","Equipment Finance","Leads Mgmt - Roll","Technekes Only","Lost","FS",,,,,25000,35000,50000,50000,50000,50000,35000,15000
"BAC","Leasing","Roll-Out","Technekes Only","Scoped","FS",,,,,,25000,25000,25000,25000,25000,25000,
"BAMS","Sales Support [SAE Org]","SAE Leads Mgmt; Wyndham 'Hunting License' ","Technekes Only","Scoped","FS",,,,,,25000,25000,25000,25000,25000,25000,
"BAMS","Sales Support [Small Biz]","Digital Outreach / Small Biz lead mgmt","Technekes Only","Scoped","FS",,,,,,25000,25000,25000,25000,25000,25000,
"BB&T","BB&T","SMB Customer Outreach","Technekes Only","Opportunity","FS",,,,,,,25000,25000,25000,25000,25000,25000
"BAC","Small Business","Outreach [Cross-Sell: DDA to MS; MS to DDA] - Pilot","Technekes Only","SOW","FS",,,,,,,25000,25000,25000,,,
"BAC","Small Business","Outreach [Cross-Sell: DDA to MS; MS to DDA] - Roll","Technekes Only","Scoped","FS",,,,,,,,,,,50000,50000
"BAC","Mass Affluent","""Welcome Call"" / Leads Program - Pilot","Technekes Only","Lost","FS",,,,25000,25000,,,,,,,
"BAC","Mass Affluent","""Welcome Call"" / Leads Program - Roll","Technekes Only","Lost","FS",,,,,,50000,50000,50000,50000,50000,50000,50000
"BB&T  ","Insurance","Leads Mgmt Pilot","Technekes Only","SOW","FS",,,,,,25000,25000,25000,25000,25000,,
"Elavon","Elavon","Telesales","Technekes Only","No Longer An Opportunity","FS",,,,100000,100000,100000,100000,100000,100000,100000,100000,100000
"Elavon","Elavon","Leads Mgmt [Cross-Sell to Medical Office Customers]","Technekes Only","Opportunity","FS",,,,,,,25000,25000,25000,25000,,
"Fifth Third","Fifth Third","Leads Mgmt","Technekes Only","Key Target","FS",,,,,,,,,,,,
"BAC","Business Banking","Leads Mgmt","Technekes Only","No Longer An Opportunity","FS",,,,,,,50000,50000,50000,50000,50000,50000
"D&B","D&B"," Top 40 Banks","Partnered","Conversation","FS",,,,,,,,,,,,
"First Data","First Data","Leads Mgmt","Technekes Only","Conversation","FS",,,,,,,,,,,,
"Wells Fargo","Small Business & Biz Insurance","Outreach","Technekes Only","Key Target","FS",,,,,,,,,,,,
"Western Union","Western Union","Leads Mgmt","Partnered","Opportunity","FS",,,,,,,,,,,,
"Citi (Retail Finance)","Home Depot","PAR Leads Mgmt - Pilot","Technekes Only","SOW","FS",,,,,,25000,50000,50000,25000,,,
"Citi (Retail Finance)","Home Depot","PAR Leads Mgmt - Roll","Technekes Only","Scoped","FS",,,,,,,,,100000,100000,100000,
"BancorpSouth","BancorpSouth","SMB Outreach","Technekes Only","Key Target","FS",,,,,,,,,,,,
"Capital One Bank","Capital One Bank","SMB Outreach","Technekes Only","Key Target","FS",,,,,,,,,,,,
"CarolinaFirst Bank","CarolinaFirst Bank","SMB Outreach","Technekes Only","No Longer An Opportunity","FS",,,,,,,,,,,,
"Chase Paymentech","Chase Paymentech","Leads Mgmt","Technekes Only","Key Target","FS",,,,,,,,,,,,
"First Citizens","First Citizens","SMB Outreach","Technekes Only","Key Target","FS",,,,,,,,,,,,
"Global Payments","Global Payments","Leads Mgmt","Technekes Only","Key Target","FS",,,,,,,,,,,,
"Harris Bank","Harris Bank","SMB Outreach","Technekes Only","Key Target","FS",,,,,,,,,,,,
"Huntington Bank","Huntington Bank","SMB Outreach","Technekes Only","Key Target","FS",,,,,,,,,,,,
"Marsh","Marsh","Leads Mgmt","Technekes Only","Key Target","FS",,,,,,,,,,,,
"PNC Bank","PNC Bank","Leads Mgmt","Technekes Only","Key Target","FS",,,,,,,,,,,,
"RBC","SMB Outreach","Customer Outreach","Technekes Only","Conversation","FS",,,,,,,,,,,,
"RBC","Business Bank","Customer Outreach","Technekes Only","Key Target","FS",,,,,,,,,,,,
"SunTrust","SunTrust","Merchant Srvs","Technekes Only","Key Target","FS",,,,,,,,,,,,
"SunTrust","SunTrust","SMB Outreach","Technekes Only","Key Target","FS",,,,,,,,,,,,
"Synovus Bank","Synovus Bank","SMB Outreach","Technekes Only","Key Target","FS",,,,,,,,,,,,
"TIAA CREF","TIAA CREF","Customer Outreach","Technekes Only","Conversation","FS",,,,,,,,,,,,
"TSYS","TSYS","Merchant Srvs","Technekes Only","Conversation","FS",,,,,,,,,,,,
"US Bank","US Bank","Leads Mgmt","Technekes Only","Key Target","FS",,,,,,,,,,,,
